version,N,trial,reps,kernel_ms
vector,4194304,5,11,9.448935
vector,4194304,6,11,9.790134
scalar,4194304,6,11,21.003132
scalar,4194304,7,11,21.079433
vector,4194304,7,11,6.892917
vector,4194304,8,11,7.837153
scalar,4194304,8,11,22.132064
scalar,4194304,9,11,23.393998
vector,4194304,9,11,9.196330
vector,4194304,10,11,7.241307
scalar,4194304,10,11,21.285838
scalar,8388608,1,5,44.404477
vector,8388608,1,5,20.138592
vector,8388608,2,5,18.974150
scalar,8388608,2,5,42.578762
scalar,8388608,3,5,42.343674
vector,8388608,3,5,14.925833
vector,8388608,4,5,15.323962
scalar,8388608,4,5,45.099626
scalar,8388608,5,5,47.144713
vector,8388608,5,5,16.679688
vector,8388608,6,5,13.421264
scalar,8388608,6,5,44.042196
scalar,8388608,7,5,43.277060
vector,8388608,7,5,14.182740
vector,8388608,8,5,15.974640
scalar,8388608,8,5,48.113316
scalar,8388608,9,5,45.302418
vector,8388608,9,5,14.306966
vector,8388608,10,5,14.858262
scalar,8388608,10,5,42.809244
scalar,10000000,1,5,50.608825
vector,10000000,1,5,16.793670
vector,10000000,2,5,17.185933
scalar,10000000,2,5,50.842831
scalar,10000000,3,5,56.465043
vector,10000000,3,5,24.015382
vector,10000000,4,5,19.609820
scalar,10000000,4,5,51.306592
scalar,10000000,5,5,51.161503
vector,10000000,5,5,17.955794
vector,10000000,6,5,22.743993
scalar,10000000,6,5,54.144924
scalar,10000000,7,5,50.730643
vector,10000000,7,5,17.697315
vector,10000000,8,5,16.735153
scalar,10000000,8,5,52.568077
scalar,10000000,9,5,57.049888
vector,10000000,9,5,18.086685
vector,10000000,10,5,16.949032
scalar,10000000,10,5,50.703873
